Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2023,BMW X1 sDrive18d M Sport,"20,000",Diesel,Automatic,50,Ahmedabad
2018,Toyota Yaris J CVT BSIV,"56,000",Petrol,Automatic,3.65,"Sahil Residency, Ahmedabad"
2018,Maruti Vitara Brezza ZDi Plus,"78,000",Diesel,Manual,"79,000","Alampur, Ahmedabad"
2021,Kia Sonet HTX Turbo iMT,"30,159",Petrol,Automatic,8.60,"Gota, Ahmedabad"
2022,Tata Tigor EV XZ Plus Dual Tone,"30,000",Electric,Automatic,8.80,Ahmedabad
2022,Mahindra XUV300 W4 Diesel BSVI,"40,000",Diesel,Manual,7.90,"Alampur, Ahmedabad"
2013,Hyundai i10 Era,"42,000",Petrol,Manual,2.60,"Makarba, Ahmedabad"
2019,Hyundai Creta 1.6 SX Automatic,"19,000",Petrol,Automatic,11.40,"Makarba, Ahmedabad"
Don’t,want to go far?,,,,Find cars near me,Use Current Pincode
2023,Nissan Magnite XV,"22,904",Petrol,Manual,6.43,"Mumatpura, Ahmedabad"
2022,Hyundai Grand i10 Nios Sportz Dual Tone,"18,000",Petrol,Manual,6.75,"Makarba, Ahmedabad"
2016,Maruti Wagon R AMT VXI,"45,000",Petrol,Automatic,3.75,"Paldi, Ahmedabad"
2019,Maruti Swift AMT VXI,"88,000",Petrol,Automatic,5.75,"Makarba, Ahmedabad"
2021,Hyundai Grand i10 Nios Sportz,"39,000",Petrol,Manual,6.25,"Makarba, Ahmedabad"
2019,Hyundai Creta 1.6 SX Automatic,"48,000",Petrol,Automatic,9.90,"Makarba, Ahmedabad"
2019,Hyundai i20 Sportz Plus BSIV,"71,000",Petrol,Manual,6.50,"Makarba, Ahmedabad"
2016,Honda City i VTEC V,"81,000",Petrol,Manual,5.50,"Makarba, Ahmedabad"
2013,Hyundai Grand i10 CRDi Magna,"76,000",Diesel,Manual,3.60,"Makarba, Ahmedabad"
2018,Maruti Ignis 1.2 AMT Delta BSIV,"81,000",Petrol,Automatic,4.40,"Makarba, Ahmedabad"
2016,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"36,441",Petrol,Manual,4.59,"Gota, Ahmedabad"
2020,Hyundai Grand i10 Nios Sportz,"52,000",Petrol,Manual,6.15,"Makarba, Ahmedabad"
2022,Maruti S-Presso VXI BSVI,"26,000",Petrol,Manual,3.85,"Alampur, Ahmedabad"
2019,Hyundai Creta 1.6 SX Automatic,"48,000",Petrol,Automatic,9.90,"Makarba, Ahmedabad"
2019,Hyundai i20 Sportz Plus BSIV,"71,000",Petrol,Manual,6.50,"Makarba, Ahmedabad"
2022,Maruti Wagon R VXI,"26,000",Petrol,Manual,5.25,"Alampur, Ahmedabad"
2016,Honda City i VTEC V,"81,000",Petrol,Manual,5.50,"Makarba, Ahmedabad"
2013,Hyundai Grand i10 CRDi Magna,"76,000",Diesel,Manual,3.60,"Makarba, Ahmedabad"
2018,Maruti Ignis 1.2 AMT Delta BSIV,"81,000",Petrol,Automatic,4.40,"Makarba, Ahmedabad"
2018,Tata Hexa XTA,"80,000",Diesel,Automatic,7.45,"Sahil Residency, Ahmedabad"
2016,Maruti S Cross DDiS 200 Zeta,"48,000",Diesel,Manual,6.25,"Makarba, Ahmedabad"
2023,Skoda Kushaq 1.5 TSI Ambition,"25,812",Petrol,Manual,11.32,"Gota, Ahmedabad"
2015,Hyundai i20 Sportz 1.2,"79,000",Petrol,Manual,5.25,"Makarba, Ahmedabad"
2016,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"36,441",Petrol,Manual,4.59,"Gota, Ahmedabad"
2020,Hyundai Grand i10 Nios Sportz,"52,000",Petrol,Manual,6.15,"Makarba, Ahmedabad"
2014,Honda City i VTEC S,"65,000",Petrol,Manual,4.75,"Makarba, Ahmedabad"
2015,Hyundai Grand i10 Magna,"83,000",Petrol,Manual,3.95,"Makarba, Ahmedabad"
2019,Maruti Swift VXI,"79,250",Petrol,Manual,5.36,"Gota, Ahmedabad"
2021,Renault Triber RXZ,"57,892",Petrol,Manual,5.37,"Mumatpura, Ahmedabad"
2023,Maruti Swift Dzire ZXI CNG BSVI,"45,000",CNG,Manual,7.90,"Alampur, Ahmedabad"
2018,Hyundai Tucson 2.0 e-VGT 2WD AT GL,"76,000",Diesel,Automatic,9.50,"Makarba, Ahmedabad"
2022,Hyundai Creta E Diesel BSVI,"61,000",Diesel,Manual,11.75,"Alampur, Ahmedabad"
2014,Hyundai i20 Asta 1.2,"71,000",Petrol,Manual,3.95,"Makarba, Ahmedabad"
2022,Renault KWID 1.0 AMT RXT,"10,610",Petrol,Automatic,4.77,"Gota, Ahmedabad"
2016,Maruti Baleno 1.2 Sigma,"87,000",Petrol,Manual,4.50,"Makarba, Ahmedabad"
2017,Honda City i VTEC VX,"81,000",Petrol,Manual,7.75,"Ambawadi, Ahmedabad"
2022,Hyundai Creta SX Diesel BSVI,"41,000",Diesel,Manual,16.50,"Makarba, Ahmedabad"
2014,Hyundai i20 Asta Optional with Sunroof 1.2,"73,000",Petrol,Manual,4.75,"Makarba, Ahmedabad"
2021,Volkswagen Taigun 1.0 Topline,"29,809",Petrol,Manual,11.53,"Gota, Ahmedabad"
2017,Honda WR-V i-DTEC VX,"61,000",Diesel,Manual,7.25,"Makarba, Ahmedabad"
2021,Renault Triber RXT,"25,792",Petrol,Manual,4.78,"Mumatpura, Ahmedabad"
2018,Maruti Alto 800 LXi,"14,679",Petrol,Manual,3.28,"Gota, Ahmedabad"
2014,Honda Brio S MT,"88,000",Petrol,Manual,3.15,"Makarba, Ahmedabad"
2020,Hyundai i20 Magna 1.2,"30,035",Petrol,Manual,6.47,"Gota, Ahmedabad"
2017,Hyundai Grand i10 Magna,"58,000",Petrol,Manual,4.75,"Alampur, Ahmedabad"
2015,Maruti S Cross DDiS 200 Alpha,"72,000",Diesel,Manual,5.50,"Makarba, Ahmedabad"
2018,Jeep Compass 2.0 Limited 4X4,"63,000",Diesel,Manual,10.50,"Naranpura, Ahmedabad"
2018,Honda Brio S MT,"12,482",Petrol,Manual,4.17,"Gota, Ahmedabad"
2019,Honda Amaze VX i-VTEC,"19,525",Petrol,Manual,6.02,"Gota, Ahmedabad"
2017,Maruti Baleno 1.2 Delta,"62,000",Petrol,Manual,5.25,"Naranpura Vistar, Ahmedabad"
2020,Hyundai Aura S,"34,000",Petrol,Manual,6.40,"Makarba, Ahmedabad"
2021,Maruti Swift VXI,"32,960",Petrol,Manual,5.64,"Naroda, Ahmedabad"
2018,Maruti Ignis Zeta,"32,753",Petrol,Manual,5.02,"Gota, Ahmedabad"
2014,Maruti Swift VDI,"81,456",Diesel,Manual,4.20,"Gota, Ahmedabad"
2016,Nissan Micra XV CVT,"65,000",Petrol,Automatic,3.95,"Makarba, Ahmedabad"
2017,Hyundai i20 Sportz 1.2,"57,266",Petrol,Manual,5.80,"Gota, Ahmedabad"
2015,Maruti Wagon R VXI BS IV,"38,000",Petrol,Manual,3.50,"Makarba, Ahmedabad"
2017,Honda City i-DTEC ZX,"73,000",Diesel,Manual,8.25,"Makarba, Ahmedabad"
2017,Maruti Alto 800 LXi,"37,301",Petrol,Manual,2.67,"Gota, Ahmedabad"
2022,Tata Nexon XZ Plus (O) Diesel,"24,536",Diesel,Manual,8.82,"Gota, Ahmedabad"
2020,Tata Altroz XZ Diesel BSVI,"30,000",Diesel,Manual,7.25,"Alampur, Ahmedabad"
2014,Honda Amaze S i-VTEC,"62,511",Petrol,Manual,3.84,"Gota, Ahmedabad"
2016,Maruti Baleno Delta Diesel,"36,336",Diesel,Manual,4.79,"Gota, Ahmedabad"
2016,Hyundai Xcent 1.2 Kappa S,"75,000",Petrol,Manual,3.95,"Makarba, Ahmedabad"
2017,Maruti Alto 800 VXI,"64,677",Petrol,Manual,3.35,"Gota, Ahmedabad"
2011,Toyota Etios VX,"63,000",Petrol,Manual,3.40,"Makarba, Ahmedabad"
2023,Hyundai i20 N-Line N8 DCT Dual Tone,"19,000",Petrol,Automatic,11.11,"Naranpura, Ahmedabad"
2019,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"70,324",Petrol,Manual,5.11,"Gota, Ahmedabad"
2018,Hyundai i20 1.2 Asta Dual Tone,"58,508",Petrol,Manual,6.39,"Gota, Ahmedabad"
2016,Honda City SV MT,"62,417",Petrol,Manual,5.07,"Gota, Ahmedabad"
2014,Honda Amaze E i-Dtech,"70,000",Diesel,Manual,3.70,"Makarba, Ahmedabad"
2019,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"67,897",Petrol,Manual,5.42,"Gota, Ahmedabad"
2021,Tata Nexon XZ Plus (O) Dark Edition BSVI,"18,189",Petrol,Manual,8.25,"Mumatpura, Ahmedabad"
2020,Kia Sonet GTX Plus Turbo iMT,"50,206",Petrol,Automatic,9.10,"Gota, Ahmedabad"
2015,Hyundai Creta 1.6 CRDi AT SX Plus,"70,000",Diesel,Automatic,6.95,"Makarba, Ahmedabad"
2016,Honda Brio S MT,"39,000",Petrol,Manual,3.75,"Naranpura, Ahmedabad"
2019,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"91,645",Petrol,Manual,5.07,"Gota, Ahmedabad"
2022,Maruti Baleno Alpha Diesel,"29,111",Diesel,Manual,7.43,"Gota, Ahmedabad"
2020,Hyundai Santro Magna Corp Edition,"1,23,378",Petrol,Manual,3.84,"Gota, Ahmedabad"
2022,Maruti Ignis Sigma,"25,771",Petrol,Manual,4.66,"Gota, Ahmedabad"
2018,Hyundai Creta 1.6 SX,"74,701",Petrol,Manual,10.51,"Gota, Ahmedabad"
2019,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"87,000",Petrol,Manual,5.25,"Naranpura, Ahmedabad"
2019,Hyundai Tucson 2.0 e-VGT 2WD AT GL Opt,"79,000",Diesel,Automatic,14.75,"Makarba, Ahmedabad"
2014,Maruti Alto K10 MusiK edition,"71,413",Petrol,Manual,2.20,"Gota, Ahmedabad"
2020,Maruti Baleno Zeta,"58,522",Petrol,Manual,5.14,"Mumatpura, Ahmedabad"
2021,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"24,347",Petrol,Manual,5.98,"Gota, Ahmedabad"
2021,Maruti Ignis Alpha,"21,648",Petrol,Manual,6.06,"Gota, Ahmedabad"
