Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2014,Mahindra XUV500 W8 FWD,"89,000",Diesel,Manual,7.40,"Nagadenahalli, Bangalore"
2015,Hyundai i20 Asta 1.2,"72,811",Petrol,Manual,5.03,"Magadi Road, Bangalore"
2015,Maruti Swift VDI BSIV,"1,06,000",Diesel,Manual,4.95,"Ramamurthy Nagar, Bangalore"
2022,Volkswagen Taigun 1.0 TSI Highline AT BSVI,"8,951",Petrol,Automatic,13.51,"Jakkur, Bangalore"
2024,Kia Seltos GTX Plus Turbo DCT,"8,300",Petrol,Automatic,20.65,"Adugodi, Bangalore"
2022,Hyundai i20 Asta Opt Diesel,"27,505",Diesel,Manual,10.95,"Marathahalli Colony, Bangalore"
2021,Renault Kiger RXT AMT,"19,997",Petrol,Automatic,7.25,"Singasandra, Bangalore"
2021,Hyundai Creta EX BSVI,"20,342",Petrol,Manual,11.99,"Bellandur, Bangalore"
Don’t,want to go far?,,,,Find cars near me,Use Current Pincode
2024,Force Gurkha 2.6 Diesel,"2,000",Diesel,Manual,18.50,"Indiranagar, Bangalore"
2017,Tata Hexa XT,"1,35,000",Diesel,Manual,10.75,"Ramamurthy Nagar, Bangalore"
2022,Kia Seltos HTK G,"9,536",Petrol,Manual,11.72,"Avalahalli, Bangalore"
2014,Hyundai i20 Sportz 1.2,"59,149",Petrol,Manual,4.80,"Mahadevapura, Bangalore"
2012,BMW 3 Series 320i Touring,"80,000",Petrol,Automatic,8,Bangalore
2017,Hyundai i20 Active 1.4 SX,"51,662",Diesel,Manual,6.86,"Magadi Road, Bangalore"
2022,Kia Sonet HTX Diesel BSVI,"29,493",Diesel,Manual,10.33,"Magadi Road, Bangalore"
2018,Hyundai i20 Asta Option,"50,760",Petrol,Manual,6.95,"Singasandra, Bangalore"
2019,Honda Amaze V CVT Petrol BSIV,"90,000",Petrol,Automatic,5.50,Bangalore
2022,Kia Sonet GTX Plus Turbo iMT BSVI,"21,126",Petrol,Manual,10.15,"Jakkur, Bangalore"
2019,Mercedes-Benz C-Class Progressive C 220d,"20,000",Diesel,Automatic,39.50,"Vasanth Nagar, Bangalore"
2017,Honda Jazz VX,"57,746",Petrol,Manual,5.54,"Yelahanka, Bangalore"
2019,Renault Captur Platine Dual Tone Diesel,"90,000",Diesel,Manual,7.50,Bangalore
2015,Mahindra XUV500 W8 2WD,"75,000",Diesel,Manual,8.65,"Ramamurthy Nagar, Bangalore"
2015,Maruti Swift VDI BSIV,"1,06,000",Diesel,Manual,4.95,"Ramamurthy Nagar, Bangalore"
2013,Maruti Swift VXI,"57,000",Petrol,Manual,3.75,"Tilaknagar, Bangalore"
2021,Volkswagen Tiguan 2.0 TSI Elegance BSVI,"33,540",Petrol,Automatic,29.95,"BTM Layout, Bangalore"
2022,Volkswagen Taigun 1.0 TSI Highline AT BSVI,"8,951",Petrol,Automatic,13.51,"Jakkur, Bangalore"
