Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2023,Tata Tiago XZ Plus CNG,"2,900",CNG,Manual,8.20,Chennai
2014,Honda City i VTEC CVT SV,"77,259",Petrol,Automatic,5.14,"Ganapathipuram, Chennai"
2019,Maruti Baleno 1.2 CVT Alpha,"17,822",Petrol,Automatic,6.91,"Ganapathipuram, Chennai"
2022,Tata Nexon 1.2 Revotron XM,"43,206",Petrol,Manual,8.20,"Meenambakkam, Chennai"
2022,Hyundai Alcazar Signature (O) Diesel AT BSVI,"20,000",Diesel,Automatic,18.50,Chennai
2017,Hyundai i20 Asta 1.2,"81,870",Petrol,Manual,5.49,"Thiruverkadu, Chennai"
2017,Hyundai i20 Asta 1.2,"43,870",Petrol,Manual,5.48,"Thiruverkadu, Chennai"
2019,Kia Seltos GTX Plus DCT,"46,956",Petrol,Automatic,10.69,"Thiruverkadu, Chennai"
Don’t,want to go far?,,,,Find cars near me,Use Current Pincode
2021,Kia Seltos HTE G,"40,000",Petrol,Manual,9.70,Chennai
2016,Hyundai i20 Sportz 1.2,"38,474",Petrol,Manual,4.91,"Thiruverkadu, Chennai"
2020,Hyundai i20 Sportz Plus,"72,000",Petrol,Manual,5.79,"Thiruverkadu, Chennai"
2018,Honda WR-V i-VTEC VX,"63,799",Petrol,Manual,6.05,"Thiruverkadu, Chennai"
2022,Volkswagen Virtus Highline AT BSVI,"20,000",Petrol,Automatic,14.25,Chennai
2019,Tata Tiago XZ Plus,"56,568",Petrol,Manual,4.44,"Thiruverkadu, Chennai"
2021,Kia Sonet HTX Diesel BSVI,"18,000",Diesel,Manual,10.95,"Anna Nagar, Chennai"
2012,Chevrolet Beat Diesel LT,"72,000",Diesel,Manual,2.30,"Anna Nagar, Chennai"
2020,Kia Seltos Anniversary Edition IVT,"50,000",Petrol,Automatic,16.90,Chennai
2022,Renault Triber RXT,"47,356",Petrol,Manual,6.37,"Vadapalani, Chennai"
2019,Hyundai Xcent 1.2 VTVT S,"44,259",Petrol,Manual,5.60,"Chromepet, Chennai"
2023,Mahindra Thar LX 4WD Hard Top AT BSVI,"5,000",Petrol,Automatic,15.75,"Thygaraya Nagar, Chennai"
2023,Hyundai Verna SX IVT,"20,000",Petrol,Automatic,14.10,Chennai
2013,Maruti Ertiga VXI,"54,000",Petrol,Manual,6.30,"Anna Nagar, Chennai"
2021,Toyota Glanza V CVT,"51,976",Petrol,Automatic,6.76,"Thiruverkadu, Chennai"
2020,Hyundai Venue SX Turbo,"69,378",Petrol,Manual,8.20,"Anna Nagar, Chennai"
2015,Honda City i VTEC CVT SV,"90,000",Petrol,Automatic,6.15,Chennai
2017,Hyundai i20 Asta 1.2,"38,980",Petrol,Manual,5.53,"Ganapathipuram, Chennai"
2021,Volkswagen Taigun 1.0 TSI Highline BSVI,"10,000",Petrol,Manual,10.50,"Triplicane, Chennai"
2022,Tata Safari XT Plus BSVI,"39,000",Diesel,Manual,16.70,"Anna Nagar, Chennai"
2021,Jeep Compass Model S DCT BSVI,"70,000",Petrol,Automatic,19,Chennai
2019,Honda Amaze S Petrol BSIV,"53,569",Petrol,Manual,5.30,"Chromepet, Chennai"
2019,Maruti Baleno Delta,"56,000",Petrol,Manual,6.15,"Koyambedu, Chennai"
2019,Hyundai Venue SX Plus Turbo DCT BSIV,"37,714",Petrol,Automatic,8.20,"Thiruverkadu, Chennai"
2023,Tata Tiago EV XZ Plus Tech LUX LR ACFC,"20,000",Electric,Automatic,9.65,Chennai
2021,Maruti Baleno Zeta,"56,392",Petrol,Manual,5.91,"Thiruverkadu, Chennai"
2016,Maruti Swift Dzire VXI,"99,951",Petrol,Manual,4.55,"Thiruverkadu, Chennai"
2023,MG Hector Sharp Pro,"13,489",Petrol,Manual,21,"Nandanam, Chennai"
2020,Toyota Innova Crysta 2.4 GX 8 STR AT,"60,000",Diesel,Automatic,20,Chennai
2015,Maruti Swift Dzire VXI,"98,685",Petrol,Manual,4.12,"Vadapalani, Chennai"
2020,Maruti Baleno Zeta,"40,170",Petrol,Manual,6.12,"Ganapathipuram, Chennai"
2017,Maruti Baleno 1.2 Zeta,"75,000",Petrol,Manual,5.60,"Koyambedu, Chennai"
2018,Mercedes-Benz GLS 350d Grand Edition,"1,20,000",Diesel,Automatic,54.50,Chennai
2019,Maruti Swift ZXI,"70,768",Petrol,Manual,5.58,"Thiruverkadu, Chennai"
2021,MG Astor Savvy Turbo AT BSVI,"18,245",Petrol,Automatic,17.62,"Nandanam, Chennai"
