Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2023,BMW X1 sDrive18d M Sport,20000,Diesel,Automatic,5000000,Ahmedabad
2018,Toyota Yaris J CVT BSIV,56000,Petrol,Automatic,365000,Ahmedabad
2018,Maruti Vitara Brezza ZDi Plus,78000,Diesel,Manual,79000,Ahmedabad
2021,Kia Sonet HTX Turbo iMT,30159,Petrol,Automatic,860000,Ahmedabad
2022,Tata Tigor EV XZ Plus Dual Tone,30000,Electric,Automatic,880000,Ahmedabad
2022,Mahindra XUV300 W4 Diesel BSVI,40000,Diesel,Manual,790000,Ahmedabad
2013,Hyundai i10 Era,42000,Petrol,Manual,260000,Ahmedabad
2019,Hyundai Creta 1.6 SX Automatic,19000,Petrol,Automatic,1140000,Ahmedabad
2023,Nissan Magnite XV,22904,Petrol,Manual,643000,Ahmedabad
2022,Hyundai Grand i10 Nios Sportz Dual Tone,18000,Petrol,Manual,675000,Ahmedabad
2016,Maruti Wagon R AMT VXI,45000,Petrol,Automatic,375000,Ahmedabad
2019,Maruti Swift AMT VXI,88000,Petrol,Automatic,575000,Ahmedabad
2021,Hyundai Grand i10 Nios Sportz,39000,Petrol,Manual,625000,Ahmedabad
2019,Hyundai Creta 1.6 SX Automatic,48000,Petrol,Automatic,990000,Ahmedabad
2019,Hyundai i20 Sportz Plus BSIV,71000,Petrol,Manual,650000,Ahmedabad
2016,Honda City i VTEC V,81000,Petrol,Manual,550000,Ahmedabad
2013,Hyundai Grand i10 CRDi Magna,76000,Diesel,Manual,360000,Ahmedabad
2018,Maruti Ignis 1.2 AMT Delta BSIV,81000,Petrol,Automatic,440000,Ahmedabad
2016,Hyundai Grand i10 1.2 Kappa Sportz BSIV,36441,Petrol,Manual,459000,Ahmedabad
2020,Hyundai Grand i10 Nios Sportz,52000,Petrol,Manual,615000,Ahmedabad
2022,Maruti S-Presso VXI BSVI,26000,Petrol,Manual,385000,Ahmedabad
2022,Maruti Wagon R VXI,26000,Petrol,Manual,525000,Ahmedabad
2018,Tata Hexa XTA,80000,Diesel,Automatic,745000,Ahmedabad
2016,Maruti S Cross DDiS 200 Zeta,48000,Diesel,Manual,625000,Ahmedabad
2023,Skoda Kushaq 1.5 TSI Ambition,25812,Petrol,Manual,1132000,Ahmedabad
2015,Hyundai i20 Sportz 1.2,79000,Petrol,Manual,525000,Ahmedabad
2014,Honda City i VTEC S,65000,Petrol,Manual,475000,Ahmedabad
2015,Hyundai Grand i10 Magna,83000,Petrol,Manual,395000,Ahmedabad
2019,Maruti Swift VXI,79250,Petrol,Manual,536000,Ahmedabad
2021,Renault Triber RXZ,57892,Petrol,Manual,537000,Ahmedabad
2023,Maruti Swift Dzire ZXI CNG BSVI,45000,CNG,Manual,790000,Ahmedabad
2018,Hyundai Tucson 2.0 e-VGT 2WD AT GL,76000,Diesel,Automatic,950000,Ahmedabad
2022,Hyundai Creta E Diesel BSVI,61000,Diesel,Manual,1175000,Ahmedabad
2014,Hyundai i20 Asta 1.2,71000,Petrol,Manual,395000,Ahmedabad
2022,Renault KWID 1.0 AMT RXT,10610,Petrol,Automatic,476999,Ahmedabad
2016,Maruti Baleno 1.2 Sigma,87000,Petrol,Manual,450000,Ahmedabad
2017,Honda City i VTEC VX,81000,Petrol,Manual,775000,Ahmedabad
2022,Hyundai Creta SX Diesel BSVI,41000,Diesel,Manual,1650000,Ahmedabad
2014,Hyundai i20 Asta Optional with Sunroof 1.2,73000,Petrol,Manual,475000,Ahmedabad
2021,Volkswagen Taigun 1.0 Topline,29809,Petrol,Manual,1153000,Ahmedabad
2017,Honda WR-V i-DTEC VX,61000,Diesel,Manual,725000,Ahmedabad
2021,Renault Triber RXT,25792,Petrol,Manual,478000,Ahmedabad
2018,Maruti Alto 800 LXi,14679,Petrol,Manual,328000,Ahmedabad
2014,Honda Brio S MT,88000,Petrol,Manual,315000,Ahmedabad
2020,Hyundai i20 Magna 1.2,30035,Petrol,Manual,647000,Ahmedabad
2017,Hyundai Grand i10 Magna,58000,Petrol,Manual,475000,Ahmedabad
2015,Maruti S Cross DDiS 200 Alpha,72000,Diesel,Manual,550000,Ahmedabad
2018,Jeep Compass 2.0 Limited 4X4,63000,Diesel,Manual,1050000,Ahmedabad
2018,Honda Brio S MT,12482,Petrol,Manual,417000,Ahmedabad
2019,Honda Amaze VX i-VTEC,19525,Petrol,Manual,602000,Ahmedabad
