Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
AD,,,,,25,"Sector 21e, Gurgaon"
2017,Honda City i VTEC S,"42,050",Petrol,Manual,5.75,"Ashok Vihar, New Delhi"
2024,Hyundai Venue S 2023-2025,"3,600",Petrol,Manual,9.25,"Krishna Nagar, New Delhi"
2024,Mercedes-Benz A-Class Limousine A 200 BSVI,"10,000",Petrol,Automatic,39.75,"Dilshad Garden, New Delhi"
2021,Kia Sonet HTK BSVI,"67,000",Petrol,Manual,7.25,"Pitampura, New Delhi"
2018,Hyundai i20 1.2 Magna Executive,"55,000",Petrol,Manual,5.15,"Distt. Court Complex Dwarka, New Delhi"
2018,Maruti Baleno 1.2 Alpha,"52,000",Petrol,Manual,5.35,"Karol Bagh, New Delhi"
2024,Toyota Innova Hycross ZX Hybrid,"4,000",Petrol,Automatic,36.44,"Ashok Vihar, New Delhi"
Don’t,want to go far?,,,,,Use Current Pincode
2023,Audi A6 45 TFSI Technology BSVI,"10,000",Petrol,Automatic,54,"Dilshad Garden, New Delhi"
2015,Hyundai Elantra CRDi SX,"1,60,000",Diesel,Manual,3.78,New Delhi
2023,Hyundai Venue N Line N8 turbo DCT,"22,055",Petrol,Automatic,11.40,"Ashok Vihar, New Delhi"
2023,Mercedes-Benz A-Class Limousine A 200 BSVI,"6,500",Petrol,Automatic,35.50,"Ashok Vihar, New Delhi"
2023,Kia Carens Luxury Plus iMT BSVI,"7,800",Petrol,Automatic,17.35,"Ashok Vihar, New Delhi"
2011,Mercedes-Benz CLS-Class 350 BE,"80,000",Petrol,Automatic,18,New Delhi
2023,Hyundai i20 Asta Opt IVT,"11,000",Petrol,Automatic,9.90,"Preet Vihar, New Delhi"
2021,BMW X1 sDrive20i xLine,"35,000",Petrol,Automatic,32.75,"Dilshad Garden, New Delhi"
2023,Maruti Grand Vitara Delta,"8,000",Petrol,Manual,12.25,"Bengali Market, New Delhi"
2017,Bentley Flying Spur V8,"21,000",Petrol,Automatic,1.79 Crore,"Tilak Nagar East, New Delhi"
2020,BMW X1 sDrive 20d M Sport,"29,000",Diesel,Automatic,26.75,"Dilshad Garden, New Delhi"
2016,Tata Tiago 1.05 Revotorq XZ,"71,001",Diesel,Manual,2.25,"Vikas Puri, New Delhi"
2011,Maruti Wagon R LXI CNG,"68,566",CNG,Manual,1.80,"Ashok Vihar, New Delhi"
2017,Mini Cooper Clubman Cooper S,"22,000",Petrol,Automatic,26.25,"Naraina, New Delhi"
2015,Audi A4 2.0 TDI Premium Plus,"67,000",Diesel,Automatic,9,"Lajpat Nagar, New Delhi"
2020,BMW X7 xDrive 40i M Sport,"39,000",Petrol,Automatic,95.50,"Dilshad Garden, New Delhi"
2023,Maruti Swift LXI,"21,000",Petrol,Manual,5.75,"Shakarpur, New Delhi"
2019,BMW X4 M Sport X xDrive20d,"85,000",Diesel,Automatic,36.50,"Naraina, New Delhi"
2016,Ford Ecosport 1.5 TDCi Titanium BSIV,"57,000",Diesel,Manual,4.40,"Ramesh Nagar, New Delhi"
2012,Hyundai i10 Magna 1.2,"75,486",Petrol,Manual,1.50,"Wazir Pur Iii, New Delhi"
2020,Maruti Vitara Brezza VDi,"52,000",Diesel,Manual,7.25,"Bengali Market, New Delhi"
2017,Mercedes-Benz C-Class Progressive C 220d,"57,000",Diesel,Automatic,20.50,"Vikas Puri, New Delhi"
2017,Tata Tiago 1.2 Revotron XZ,"48,000",Petrol,Manual,3.88,"Ashok Vihar, New Delhi"
2017,Hyundai i20 Sportz 1.2,"64,000",Petrol,Manual,5,"Bengali Market, New Delhi"
2019,MG Hector Sharp DCT,"40,000",Petrol,Automatic,12.50,"Karol Bagh, New Delhi"
2021,Kia Carnival Limousine,"37,000",Diesel,Automatic,29.90,"Naraina, New Delhi"
2021,Hyundai Grand i10 Nios Sportz CNG,"67,000",CNG,Manual,5.45,"Preet Vihar, New Delhi"
2013,Hyundai Santro Xing GL,"20,900",Petrol,Manual,2.15,"Ashok Vihar, New Delhi"
2019,Tata Nexon 1.2 Revotron XZ Plus,"69,000",Petrol,Manual,5.69,"M.b.s. Nagar, New Delhi"
2016,Mercedes-Benz S-Class S400,"57,000",Petrol,Automatic,48,"Vikas Puri, New Delhi"
2023,Toyota Hyryder V HYBRID,"27,000",Petrol,Automatic,19.70,"Karam Pura, New Delhi"
2024,Jeep Wrangler Rubicon,"5,000",Petrol,Automatic,75,"Tilak Nagar East, New Delhi"
2021,Maruti Wagon R CNG LXI,"50,000",CNG,Manual,5.20,"Preet Vihar, New Delhi"
2014,Mercedes-Benz S-Class S 500,"70,000",Petrol,Automatic,35.50,"Naraina, New Delhi"
2023,BMW X7 xDrive 40i M Sport,"9,700",Petrol,Automatic,1.21 Crore,"Ashok Vihar, New Delhi"
2015,Honda City i VTEC VX,"53,000",Petrol,Manual,5.75,"Bengali Market, New Delhi"
2020,Kia Sonet HTK Plus,"52,000",Petrol,Manual,8,"Shakti Nagar, New Delhi"
2017,Jeep Grand Cherokee Summit 4X4,"53,000",Diesel,Automatic,34.90,"Naraina, New Delhi"
2021,Kia Seltos HTX G,"35,000",Petrol,Manual,12.50,"Dwarka Sector-6, New Delhi"
2018,Mahindra XUV500 W6 2WD,"67,000",Diesel,Manual,7.25,"Bengali Market, New Delhi"
2019,Hyundai Venue SX Plus Turbo DCT,"52,000",Petrol,Automatic,7.75,"Shakti Nagar, New Delhi"
2016,Audi Q7 45 TDI Quattro Technology,"79,000",Diesel,Automatic,32.73,"Naraina, New Delhi"
2018,Mahindra XUV500 W6 2WD,"88,000",Diesel,Manual,7.25,"Ashok Vihar, New Delhi"
2022,Honda Amaze 2nd Gen VX CVT,"19,500",Petrol,Automatic,8.25,"Shakti Nagar, New Delhi"
2016,Hyundai Grand i10 Magna CNG,"50,000",CNG,Manual,3.75,"Vigyan Vihar, New Delhi"
2019,BMW 5 Series 520d Luxury Line,"39,000",Diesel,Automatic,31.50,"Naraina, New Delhi"
2016,Maruti Wagon R AMT VXI,"19,200",Petrol,Automatic,3.70,"Ashok Vihar, New Delhi"
2024,Mercedes-Benz GLS 450 4matic,"10,000",Petrol,Automatic,1.32 Crore,"Naraina, New Delhi"
2020,Hyundai Grand i10 Nios Sportz,"63,000",Petrol,Manual,5.09,"M.b.s. Nagar, New Delhi"
2020,Mercedes-Benz C-Class Progressive C 220d,"15,000",Diesel,Automatic,38.50,"Naraina, New Delhi"
2017,Honda City i VTEC V,"62,000",Petrol,Manual,6.75,"Bengali Market, New Delhi"
2015,Honda City i VTEC V,"47,000",Petrol,Manual,4.70,"Shakarpur, New Delhi"
2012,Honda Brio V MT,"31,201",Petrol,Manual,1.99,"Vikas Puri, New Delhi"
2021,Toyota Vellfire Executive Lounge,"44,000",Petrol,Automatic,85,"Vikas Puri, New Delhi"
2020,Tata Tiago XZ 2020-2022,"58,000",Petrol,Manual,4.25,"M.b.s. Nagar, New Delhi"
2018,Toyota Yaris VX CVT BSIV,"51,000",Petrol,Automatic,6.25,"Ashok Vihar, New Delhi"
2023,Hyundai Creta SX Executive,"17,000",Petrol,Manual,13.95,"M.b.s. Nagar, New Delhi"
2019,Ford Endeavour 3.2 Titanium AT 4X4,"87,000",Diesel,Automatic,28.75,"Naraina, New Delhi"
2017,BMW 5 Series 520d Luxury Line,"64,000",Diesel,Automatic,20.75,"Ashok Vihar, New Delhi"
2016,Maruti Celerio VXI,"38,866",Petrol,Manual,3.08,"Rohini Courts, New Delhi"
2017,Hyundai i20 Sportz 1.2,"19,000",Petrol,Manual,4.45,"Pitampura, New Delhi"
2018,Land Rover Discovery Sport TD4 SE,"38,000",Diesel,Automatic,28.50,"Naraina, New Delhi"
2018,Maruti Vitara Brezza ZDi,"59,000",Diesel,Manual,6.70,"Bengali Market, New Delhi"
2018,Honda Jazz V CVT,"40,000",Petrol,Automatic,5.95,"Karol Bagh, New Delhi"
2016,Honda Amaze S i-VTEC,"82,000",Petrol,Manual,3.80,"Shakti Nagar, New Delhi"
2019,Mercedes-Benz GLA Class 200 Sport,"50,000",Petrol,Automatic,24.85,"Naraina, New Delhi"
2024,Mercedes-Benz E-Class Exclusive E 200 BSVI,"3,200",Petrol,Automatic,84,"Rajender Nagar, New Delhi"
2017,Honda Jazz 1.2 S i VTEC,"50,000",Petrol,Manual,4.10,"Ashok Vihar, New Delhi"
