Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2018,Maruti S Cross Zeta DDiS 200 SH,"92,650",Diesel,Manual,8.35,"Nagol, Hyderabad"
2019,Mercedes-Benz CLA 200 CDI Sport,"6,000",Diesel,Automatic,33,"Mehdipatnam, Hyderabad"
2020,BMW X1 sDrive 20d M Sport,"40,000",Diesel,Automatic,29,"Mehdipatnam, Hyderabad"
2021,Mahindra Thar LX 4WD Convert Top AT BSVI,"14,474",Petrol,Automatic,12.30,"Nagol, Hyderabad"
2019,Ford Ecosport 1.5 Diesel Titanium BSIV,"1,28,542",Diesel,Manual,7.95,"Nagol, Hyderabad"
2019,Honda WR-V i-DTEC VX,"77,642",Diesel,Manual,8.60,"Nagole, Hyderabad"
2022,Hyundai Creta SX Opt Diesel BSVI,"72,777",Diesel,Manual,16.50,"Nagole, Hyderabad"
2018,Maruti Vitara Brezza VDi,"78,126",Diesel,Manual,7.60,"Nagole, Hyderabad"
Don’t,want to go far?,,,,Find cars near me,Use Current Pincode
2016,Maruti Swift VDI BSIV,"81,562",Diesel,Manual,5.30,"Nagol, Hyderabad"
2015,Maruti Ritz ZDi,"1,30,000",Diesel,Manual,4.50,"Lb Nagar, Hyderabad"
2015,Honda Jazz 1.5 V i DTEC,"90,400",Diesel,Manual,4.95,"Lb Nagar, Hyderabad"
2022,Maruti Baleno Alpha,"86,684",Petrol,Manual,8,"Nagole, Hyderabad"
2023,Maruti Baleno Zeta BSVI,"49,000",Petrol,Manual,8.35,"Nagol, Hyderabad"
2016,Maruti Alto K10 VXI Optional,"83,000",Petrol,Manual,2.60,"L B Nagar, Hyderabad"
2013,Audi A4 2.0 TDI Multitronic,"92,150",Diesel,Automatic,9.85,"Lb Nagar, Hyderabad"
2015,Maruti Ertiga SHVS VDI,"1,83,194",Diesel,Manual,5.60,"Lb Nagar, Hyderabad"
2023,Tata Nexon XZ Plus P,"50,000",Petrol,Manual,11.50,Hyderabad
2021,Mahindra Thar LX 4WD Hard Top BSVI,"56,636",Petrol,Manual,11.70,"Begumbazar, Hyderabad"
2020,Hyundai i20 Sportz Plus BSIV,"51,671",Petrol,Manual,7.25,"Madhapur, Hyderabad"
2018,Hyundai i20 1.2 Asta,"42,000",Petrol,Manual,6.80,"Saidabad Colony, Hyderabad"
2016,Hyundai i20 Asta 1.2,"66,615",Petrol,Manual,5.42,"Begumbazar, Hyderabad"
2019,Maruti Baleno 1.2 Zeta,"62,013",Petrol,Manual,5.79,"Rangareddi, Hyderabad"
2019,Maruti Baleno 1.2 Zeta,"46,107",Petrol,Manual,6.44,"Rahmath Nagar, Hyderabad"
2020,Honda Jazz ZX,"45,839",Petrol,Manual,6.62,"Begumbazar, Hyderabad"
2017,Maruti Baleno 1.2 Zeta,"77,000",Petrol,Manual,6.25,"Bowenpally, Hyderabad"
2017,Maruti Baleno Alpha,"70,887",Petrol,Manual,6.35,"Nagole, Hyderabad"
2017,Maruti Ciaz 1.4 Alpha,"1,13,819",Petrol,Manual,7.50,"Lb Nagar, Hyderabad"
2017,Honda Jazz 1.2 V i VTEC,"86,099",Petrol,Manual,5.99,"Musheerabad DSO, Hyderabad"
2019,Hyundai Grand i10 Nios Asta CRDi,"84,977",Diesel,Manual,5.43,"Begumbazar, Hyderabad"
2016,Maruti Swift VDI Optional,"82,000",Diesel,Manual,5.40,"Lb Nagar, Hyderabad"
2013,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,"1,75,000",Diesel,Manual,8.50,"Bowenpally, Hyderabad"
2016,Hyundai i20 Asta 1.4 CRDi,"92,000",Diesel,Manual,5.94,"Lb Nagar, Hyderabad"
2017,Maruti Swift VDI BSIV,"84,000",Diesel,Manual,6.25,"Madhapur, Hyderabad"
2017,Hyundai i20 Asta 1.4 CRDi,"91,990",Diesel,Manual,6.15,"Begumbazar, Hyderabad"
2015,Hyundai i20 Asta 1.4 CRDi,"81,576",Diesel,Manual,5.50,"Vaishalinagar, Hyderabad"
2016,Hyundai i20 Asta 1.4 CRDi,"92,000",Diesel,Manual,5.80,"Peerzadiguda, Hyderabad"
2019,Maruti Wagon R LXI CNG Optional,"67,000",CNG,Manual,5.60,"LB Nagar, Hyderabad"
2019,Honda Amaze VX Petrol BSIV,"35,916",Petrol,Manual,6.15,"Rangareddi, Hyderabad"
2018,Hyundai Grand i10 1.2 CRDi Sportz,"68,441",Diesel,Manual,5.45,"Musheerabad Dso, Hyderabad"
2016,Maruti Swift Dzire VDI,"1,39,000",Diesel,Manual,5.56,"L B Nagar, Hyderabad"
2018,Maruti Swift ZDI Plus,"94,225",Diesel,Manual,6.04,"Begumbazar, Hyderabad"
2018,Maruti Baleno 1.2 CVT Alpha,"1,22,289",Petrol,Automatic,5.07,"Rangareddi, Hyderabad"
2018,Hyundai Grand i10 1.2 CRDi Sportz,"68,350",Diesel,Manual,5.50,"Nagol, Hyderabad"
2017,Maruti Ciaz 1.4,"1,04,000",Petrol,Manual,6.95,"Lb Nagar, Hyderabad"
2017,Maruti Ignis 1.3 Alpha,"70,000",Diesel,Manual,6.30,"Nagol, Hyderabad"
2019,Maruti S Cross Zeta DDiS 200 SH,"98,000",Diesel,Manual,9,"Lb Nagar, Hyderabad"
2015,Maruti Ciaz ZDi Plus SHVS,"87,200",Diesel,Manual,7.50,"Madhapur, Hyderabad"
2016,Hyundai Grand i10 CRDi Sportz,"83,000",Diesel,Manual,5.30,"Nagol, Hyderabad"
2014,Maruti Swift RS VDI,"75,000",Diesel,Manual,5.25,Hyderabad
2018,Mini 3 DOOR Cooper S BSVI,"37,000",Petrol,Automatic,36,"Ramgopalpet, Hyderabad"
2022,Honda Amaze VX BSVI,"14,938",Petrol,Manual,7.80,"Madhapur, Hyderabad"
2016,Honda City i VTEC SV,"83,963",Petrol,Manual,5.25,"Begumbazar, Hyderabad"
2012,Maruti Wagon R LXI,"83,508",Petrol,Manual,2.65,"Lb Nagar, Hyderabad"
2021,Maruti Wagon R CNG LXI Opt,"39,734",CNG,Manual,5.80,"Madhapur, Hyderabad"
2014,Maruti Ertiga ZDI,"1,04,000",Diesel,Manual,6.95,"Lb Nagar, Hyderabad"
2015,Skoda Octavia Elegance 1.8 TSI AT,"82,800",Petrol,Automatic,8.25,"Bowenpally, Hyderabad"
2023,Hyundai i20 Magna BSVI,"49,803",Petrol,Manual,7.90,"Madhapur, Hyderabad"
2021,Skoda Kushaq 1.5 TSI Style DSG,"45,804",Petrol,Automatic,14.90,"Madhapur, Hyderabad"
2021,Hyundai Grand i10 Nios Sportz,"25,107",Petrol,Manual,6.09,"Begumbazar, Hyderabad"
2022,Maruti Ignis Zeta BSVI,"29,977",Petrol,Manual,6.02,"Uppal, Hyderabad"
2019,Maruti Baleno Alpha,"25,836",Petrol,Manual,6.79,"Miyapur, Hyderabad"
2013,Maruti Wagon R VXI BS IV,"64,000",Petrol,Manual,3.50,Hyderabad
2018,Maruti Baleno 1.2 CVT Delta,"52,492",Petrol,Automatic,6.19,"Dr.b R Ambedkar O.u S.o, Hyderabad"
2017,Ford Ecosport 1.5 Diesel Titanium,"1,30,000",Diesel,Manual,6.80,"Lb Nagar, Hyderabad"
2022,Maruti Brezza Zxi Plus DT BSVI,"70,000",Petrol,Manual,9.95,"Nehrunagar, Hyderabad"
2016,Maruti Vitara Brezza VDi,"82,000",Diesel,Manual,6.80,"Lb Nagar, Hyderabad"
2018,Honda City i-VTEC V,"89,000",Petrol,Manual,7.90,Hyderabad
2016,Maruti Vitara Brezza VDi,"92,000",Diesel,Manual,6.80,"Lb Nagar, Hyderabad"
2022,Hyundai Venue S Plus Diesel,"67,783",Diesel,Manual,9,"Nagole, Hyderabad"
2021,Maruti Wagon R CNG LXI Opt,"34,749",CNG,Manual,5.80,"Madhapur, Hyderabad"
2021,Maruti Vitara Brezza VXI,"49,200",Petrol,Manual,8.50,"Madhapur, Hyderabad"
2019,Honda WR-V i-VTEC VX,"22,824",Petrol,Manual,7.95,"Miyapur, Hyderabad"
