Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2023,Audi Q3 Sportback 40TFSI Quattro,"10,000",Petrol,Automatic,41,Mumbai
2008,Hyundai i10 Sportz 1.2 AT,"52,000",Petrol,Automatic,1.68,"Andheri East, Mumbai"
2019,Renault Triber RXZ BSIV,"19,000",Petrol,Manual,5.45,"Matunga West, Mumbai"
2019,Hyundai i20 Sportz Plus BSIV,"25,000",Petrol,Manual,6.75,"Ghatkopar East, Mumbai"
2020,Tata Nexon EV XZ Plus,"28,000",Electric,Automatic,9.99,"Borivali West, Mumbai"
2017,Renault KWID Climber 1.0 AMT,"25,000",Petrol,Automatic,3.75,"Ghatkopar East, Mumbai"
2022,Tata Tigor EV XZ Plus,"20,000",Electric,Automatic,7.75,"Andheri East, Mumbai"
2018,Maruti Swift VXI,"53,000",Petrol,Manual,5.55,"Ins Hamla, Mumbai"
Don’t,want to go far?,,,,,Use Current Pincode
2022,Volvo XC 90 B6 Ultimate BSVI,"20,000",Petrol,Automatic,70,Mumbai
2023,Hyundai Creta SX Opt Diesel AT,"20,000",Diesel,Automatic,20.75,"Andheri East, Mumbai"
2019,Honda City V CVT,"36,000",Petrol,Automatic,7.95,"Andheri East, Mumbai"
2018,Maruti Swift VXI,"32,284",Petrol,Manual,4.99,"Santacruz Central, Mumbai"
2023,Tata Nexon EV Empowered Plus LR,"4,800",Electric,Automatic,15.75,"Borivali West, Mumbai"
2015,Maruti Alto K10 LXI,"16,280",Petrol,Manual,2.39,"Santacruz Central, Mumbai"
2021,Skoda Kushaq 1.0 TSI Style AT BSVI,"18,000",Petrol,Automatic,13.25,"Andheri East, Mumbai"
2013,Maruti Wagon R CNG LXI BSIV,"25,683",CNG,Manual,3.15,"Kandivali West, Mumbai"
2019,Maruti Baleno 1.2 CVT Alpha,"20,000",Petrol,Automatic,6,Mumbai
2018,Renault Duster Petrol RXS CVT,"27,203",Petrol,Automatic,5.74,"Kandivali East, Mumbai"
2020,Renault KWID 1.0 RXT AMT,"20,000",Petrol,Automatic,4.25,"Borivali West, Mumbai"
2022,Audi A6 45 TFSI Technology BSVI,"11,000",Petrol,Automatic,47.75,"Borivali West, Mumbai"
2021,Maruti Ertiga ZXI Plus,"24,000",Petrol,Manual,10.25,"Andheri, Mumbai"
2016,Datsun GO Plus T,"28,000",Petrol,Manual,2.99,"Borivali West, Mumbai"
